person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,LTI,credit_score
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.59,501.593247079681
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.1,672.7244069893803
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.57,540.4082514198652
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.53,552.0593581576392
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.64,549.5992781983057
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.25,675.9128434008688
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.45,593.6066155449178
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.44,570.4222555231258
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.42,618.2761451036602
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.16,599.1379072667968
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.41,612.5689159819221
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.45,582.6373999293027
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.37,634.0855243852893
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.32,534.0049651696254
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.3,684.5059397139414
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06,703.772208828567
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.29,682.3929550789956
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.38,483.91842041570084
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.31,512.8999368093184
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.16,654.2552056710547
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.22,697.6344362986765
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.25,591.5865444722324
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.52,513.954148150488
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.14,672.774582206919
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.42,521.9074102075591
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.49,561.435566287078
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.42,503.5667832048103
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.13,678.1161661267801
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.5,571.1451865793053
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.35,538.9488964521282
